# neig  =    36864
# vol   =  0.881091047E+06
# nspin =        1
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  0.21008305E+01  0.53933258E-01  0.34783853E-01  0.22961564E+00
  0.21018409E+01  0.58190174E-01 -0.14936783E+00  0.18941865E+00
  0.21040251E+01  0.42010908E+00 -0.35723299E+00  0.54082684E+00
  0.21051187E+01  0.18235580E+00 -0.11072562E+00  0.41242653E+00
  0.21168104E+01  0.59913200E+01  0.14332968E+01 -0.19841825E+01
  0.21175832E+01  0.36913432E-01  0.15408397E-01 -0.19150983E+00
  0.21205812E+01  0.38699960E+01 -0.11380806E+01  0.16046086E+01
  0.21225614E+01  0.97520945E-02 -0.44296187E-01  0.88260650E-01
  0.22631818E+01  0.27999530E-02  0.45627929E-01  0.26796364E-01
  0.22645686E+01  0.93113512E-01  0.14959835E+00 -0.26595835E+00
  0.22666980E+01  0.16163165E-02 -0.35338564E-01  0.19170351E-01
  0.22686637E+01  0.14091585E+00  0.17641633E+00 -0.33135047E+00
  0.22886084E+01  0.14302240E+00 -0.79652424E-01 -0.36969973E+00
  0.22902477E+01  0.23425884E-02 -0.22283579E-01 -0.42965457E-01
  0.22916573E+01  0.16508135E+00  0.38287729E+00 -0.13596445E+00
  0.22934675E+01  0.25778016E-02  0.50368806E-01 -0.63863130E-02
  0.23147850E+01  0.59230075E-02 -0.55312424E-01 -0.53512085E-01
  0.23150625E+01  0.21821555E-01 -0.79146007E-01 -0.12472956E+00
  0.23162665E+01  0.42859846E-01  0.14663461E+00 -0.14614424E+00
  0.23174060E+01  0.18570082E-03 -0.11207217E-02 -0.13581046E-01
  0.23180664E+01  0.24474825E-01 -0.13091813E+00 -0.85646178E-01
  0.23193968E+01  0.46399947E+00 -0.33002358E+00  0.59588918E+00
  0.23214385E+01  0.51373375E-01  0.19138667E+00 -0.12142701E+00
  0.23227958E+01  0.13815828E-02  0.13501346E-01  0.34630860E-01
  0.23325062E+01  0.45721513E-02  0.12700899E-01 -0.66414144E-01
  0.23339143E+01  0.30476774E-01 -0.62849353E-01  0.16287029E+00
  0.23343194E+01  0.22067230E-01  0.65901496E-01  0.13313235E+00
  0.23358155E+01  0.67121738E-01  0.95827233E-01 -0.24070496E+00
  0.23364796E+01  0.25117866E-01  0.12042730E+00 -0.10302976E+00
  0.23374862E+01  0.29285620E-01 -0.74341945E-01  0.15413921E+00
  0.23386527E+01  0.17139987E+00 -0.28451515E+00  0.30075074E+00
  0.23399834E+01  0.15843837E-01 -0.74189998E-01 -0.10168422E+00
  0.23402760E+01  0.45109694E-01 -0.52379474E-01  0.20583023E+00
  0.23406274E+01  0.82882109E-01 -0.13555736E+00 -0.25398093E+00
  0.23416065E+01  0.24730086E-01  0.25680370E-01  0.15514704E+00
  0.23421922E+01  0.79693503E-01  0.19911038E+00  0.20012136E+00
  0.23583614E+01  0.79282860E-01  0.89827338E-01 -0.26685934E+00
  0.23601279E+01  0.93848324E-04 -0.92431231E-02  0.29005171E-02
  0.23615273E+01  0.25121145E+00  0.26115374E+00 -0.42779689E+00
  0.23625908E+01  0.82454291E-02 -0.27554046E-01  0.86522850E-01
  0.23633497E+01  0.17058970E-01  0.94684232E-01 -0.89965916E-01
  0.23636688E+01  0.50461189E+00 -0.22927887E+00 -0.67234150E+00
  0.23649242E+01  0.63639028E+00 -0.29425197E+00  0.74148908E+00
