# neig  =    18432
# vol   =  0.547283041E+06
# nspin =        1
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  0.34019093E+01  0.13034249E-01  0.11415101E+00 -0.19485847E-02
  0.34030473E+01  0.17489725E-02  0.41814382E-01 -0.72798420E-03
  0.34120201E+01  0.26168524E-01  0.16173628E+00 -0.31465087E-02
  0.34133531E+01  0.39192408E-01  0.19793649E+00 -0.36816352E-02
  0.34506796E+01  0.32198950E-03 -0.17939828E-01  0.38998012E-03
  0.34516565E+01  0.26209032E-01  0.16186297E+00 -0.30677320E-02
  0.34603895E+01  0.21549922E-03 -0.14677779E-01  0.24902947E-03
  0.34626876E+01  0.72848675E-01 -0.26985600E+00  0.51396522E-02
  0.35775013E+01  0.33718239E-01  0.18361644E+00 -0.18009182E-02
  0.35782296E+01  0.13574934E+01 -0.11649256E+01  0.21016167E-01
  0.35855469E+01  0.69504153E-01 -0.26358340E+00  0.52862599E-02
  0.35874665E+01  0.41251002E+01  0.20306879E+01 -0.37508844E-01
  0.36156436E+01  0.46915609E+00 -0.68482179E+00  0.13236552E-01
  0.36164598E+01  0.87334221E+00 -0.93438549E+00  0.16308563E-01
  0.36231474E+01  0.11777224E-01  0.10850395E+00 -0.20288037E-02
  0.36257465E+01  0.75806822E+00 -0.87052294E+00  0.16063166E-01
  0.36477978E+01  0.55576395E-01 -0.23570740E+00  0.42914674E-02
  0.36545908E+01  0.28905270E+00 -0.53754574E+00  0.98628089E-02
  0.36639833E+01  0.26603878E-01  0.16308051E+00 -0.29368654E-02
  0.36729461E+01  0.12542473E+00  0.35409346E+00 -0.65231708E-02
  0.36825821E+01  0.58629281E-01 -0.24209369E+00  0.44637418E-02
  0.36872520E+01  0.24482020E+01  0.15644089E+01 -0.28752168E-01
  0.36980557E+01  0.55125171E+00  0.74233746E+00 -0.13667834E-01
  0.37006063E+01  0.69688736E-01 -0.26394220E+00  0.48218344E-02
  0.37249206E+01  0.86696495E-01  0.29439449E+00 -0.53269565E-02
  0.37270221E+01  0.71248846E+00  0.84394999E+00 -0.15390852E-01
  0.37323082E+01  0.42757878E+00  0.65381976E+00 -0.99250462E-02
  0.37360607E+01  0.38748093E-02  0.62236770E-01 -0.11806091E-02
  0.37378409E+01  0.43641688E-01  0.20883635E+00 -0.53914965E-02
  0.37409732E+01  0.84081785E-01 -0.28991999E+00  0.53090894E-02
  0.37478230E+01  0.32283982E-02 -0.56809525E-01  0.10373414E-02
  0.37514742E+01  0.12172870E-02  0.34883062E-01 -0.67748572E-03
  0.37598303E+01  0.33110602E-01  0.18193204E+00 -0.33665167E-02
  0.37644936E+01  0.14239981E-02 -0.37729119E-01  0.71530276E-03
  0.37682352E+01  0.52615675E-01  0.22934230E+00 -0.42173869E-02
  0.37756215E+01  0.49143926E-01  0.22164589E+00 -0.41259194E-02
  0.37777530E+01  0.77681936E-01 -0.27866520E+00  0.52578153E-02
  0.37788062E+01  0.60193215E+00  0.77571127E+00 -0.14288687E-01
  0.37829169E+01  0.36094785E+00  0.60068319E+00 -0.11294122E-01
  0.37878880E+01  0.10232074E+00  0.31981966E+00 -0.60108695E-02
  0.37930976E+01  0.46190634E-01 -0.21488418E+00  0.39275281E-02
  0.37965939E+01  0.49525226E-04 -0.70353225E-02  0.17164710E-03
  0.37990985E+01  0.11721662E-01 -0.10824878E+00  0.19655829E-02
  0.38054042E+01  0.34648847E+00 -0.58853432E+00  0.10762185E-01
  0.38077304E+01  0.17052919E+01 -0.13056476E+01  0.24004726E-01
  0.38124106E+01  0.22208063E-02 -0.47117572E-01  0.86064824E-03
  0.38164731E+01  0.14831431E+00  0.38505401E+00 -0.69080378E-02
  0.38173772E+01  0.51690882E+00 -0.71884243E+00  0.13205515E-01
  0.38219946E+01  0.21577950E+00  0.46444358E+00 -0.84650439E-02
  0.38238613E+01  0.86332583E+00  0.92899837E+00 -0.16966191E-01
  0.38271267E+01  0.13038396E+00 -0.36102593E+00  0.66508761E-02
  0.38307124E+01  0.26385349E-01 -0.16240821E+00  0.29869071E-02
  0.38332304E+01  0.30725569E+00  0.55421056E+00 -0.10312653E-01
  0.38352995E+01  0.63089074E-01  0.25113365E+00 -0.45789280E-02
  0.38396732E+01  0.64010237E-01 -0.25296004E+00  0.46322150E-02
  0.38413408E+01  0.48489901E-01  0.22016749E+00 -0.40222544E-02
  0.38429995E+01  0.10851660E-01 -0.10415452E+00  0.18697423E-02
  0.38478483E+01  0.27545046E-01 -0.16594216E+00  0.28717604E-02
  0.38482248E+01  0.62503146E+00 -0.79044167E+00  0.15278216E-01
