     1     106    -0.00000    -0.00000    -0.00000   -1.737349554   -3.485073105   -1.747723551
     1     106    -0.00000    -0.00000    -0.01642   -1.735184186   -3.460028102   -1.724843916
     1     106    -0.00000    -0.00000    -0.03283   -1.730233371   -3.421437585   -1.691204214
     1     106    -0.00000    -0.00000    -0.04925   -1.725810767   -3.407210874   -1.681400107
     1     106    -0.00000    -0.00000    -0.06566   -1.725306621   -3.418501499   -1.693194878
     1     106    -0.00000    -0.00000    -0.08208   -1.729818739   -3.450922207   -1.721103468
     1     106    -0.00000    -0.00000    -0.09850   -1.735763691   -3.488539180   -1.752775490
     1     106    -0.00000    -0.00000    -0.11491   -1.738062554   -3.501349157   -1.763286603
     1     106     0.00000    -0.15777    -0.01941   -1.684855188   -3.420592422   -1.735737234
     1     106     0.00000    -0.13523    -0.01663   -1.688146555   -3.439306183   -1.751159628
     1     106     0.00000    -0.11269    -0.01386   -1.702958130   -3.433888034   -1.730929904
     1     106     0.00000    -0.09015    -0.01109   -1.722883704   -3.441981672   -1.719097968
     1     106     0.00000    -0.06761    -0.00832   -1.729642302   -3.443611061   -1.713968759
     1     106     0.00000    -0.04508    -0.00554   -1.734153364   -3.459475242   -1.725321878
     1     106     0.00000    -0.02254    -0.00277   -1.736618087   -3.478567140   -1.741949053
     1     106    -0.00000    -0.00000    -0.00000   -1.737349554   -3.485073105   -1.747723551
     1     106    -0.02502    -0.00580    -0.00376   -1.726043179   -3.441883903   -1.715840724
     1     106    -0.05004    -0.01161    -0.00751   -1.709703059   -3.423058908   -1.713355849
     1     106    -0.07505    -0.01741    -0.01127   -1.692780227   -3.399377293   -1.706597066
     1     106    -0.10007    -0.02322    -0.01503   -1.679924867   -3.379804783   -1.699879916
     1     106    -0.12509    -0.02902    -0.01879   -1.698441697   -3.416704549   -1.718262852
     1     106    -0.15011    -0.03482    -0.02254   -1.712377579   -3.430411725   -1.718034146
     1     106    -0.17513    -0.04063    -0.02630   -1.718108298   -3.414976845   -1.696868547
     1     106    -0.20015    -0.04643    -0.03006   -1.731226927   -3.389021974   -1.657795047
     1     106    -0.22516    -0.05224    -0.03382   -1.749463688   -3.374241969   -1.624778281
     1     106    -0.25018    -0.05804    -0.03757   -1.773792778   -3.388369830   -1.614577052
     1     106    -0.27520    -0.06384    -0.04133   -1.770959891   -3.500079823   -1.729119932
     1     106    -0.27520     0.09392     0.09299   -1.767096073   -3.444886328   -1.677790255
     1     106    -0.25018     0.08538     0.08453   -1.765515691   -3.445913121   -1.680397429
     1     106    -0.22516     0.07685     0.07608   -1.762759050   -3.445619862   -1.682860813
     1     106    -0.20015     0.06831     0.06763   -1.758593427   -3.447344588   -1.688751161
     1     106    -0.17513     0.05977     0.05917   -1.746995109   -3.449742981   -1.702747873
     1     106    -0.15011     0.05123     0.05072   -1.724230706   -3.433093516   -1.708862810
     1     106    -0.12509     0.04269     0.04227   -1.715977613   -3.412110509   -1.696132896
     1     106    -0.10007     0.03415     0.03381   -1.721819615   -3.424032701   -1.702213086
     1     106    -0.07505     0.02562     0.02536   -1.725881757   -3.445710020   -1.719828263
     1     106    -0.05004     0.01708     0.01691   -1.729342158   -3.453341344   -1.723999185
     1     106    -0.02502     0.00854     0.00845   -1.733515252   -3.457830769   -1.724315517
     1     106    -0.00000    -0.00000    -0.00000   -1.737349554   -3.485073105   -1.747723551
     1     106    -0.02502     0.00854    -0.00199   -1.730148900   -3.444927149   -1.714778250
     1     106    -0.05004     0.01708    -0.00399   -1.722316249   -3.439110235   -1.716793986
     1     106    -0.07505     0.02562    -0.00598   -1.716375979   -3.429140813   -1.712764834
     1     106    -0.10007     0.03415    -0.00797   -1.711572170   -3.407658580   -1.696086410
     1     106    -0.12509     0.04269    -0.00997   -1.709275089   -3.401824267   -1.692549178
     1     106    -0.15011     0.05123    -0.01196   -1.716641200   -3.419101002   -1.702459802
     1     106    -0.17513     0.05977    -0.01395   -1.736568157   -3.429014041   -1.692445884
     1     106    -0.20015     0.06831    -0.01595   -1.748224985   -3.418630217   -1.670405231
     1     106    -0.22516     0.07685    -0.01794   -1.734952407   -3.415220423   -1.680268016
     1     106    -0.25018     0.08538    -0.01993   -1.720687842   -3.427399377   -1.706711534
     1     106    -0.27520     0.09392    -0.02193   -1.717872835   -3.437111131   -1.719238296
     1     106    -0.27520    -0.06384     0.07358   -1.809622467   -3.470606977   -1.660984510
     1     106    -0.25018    -0.05804     0.06689   -1.804951672   -3.463914212   -1.658962541
     1     106    -0.22516    -0.05224     0.06020   -1.791778145   -3.457795519   -1.666017374
     1     106    -0.20015    -0.04643     0.05351   -1.761088220   -3.449993313   -1.688905093
     1     106    -0.17513    -0.04063     0.04682   -1.730957095   -3.429010151   -1.698053056
     1     106    -0.15011    -0.03482     0.04013   -1.726306189   -3.425184300   -1.698878111
     1     106    -0.12509    -0.02902     0.03345   -1.700495261   -3.406413606   -1.705918345
     1     106    -0.10007    -0.02322     0.02676   -1.680002378   -3.389222591   -1.709220213
     1     106    -0.07505    -0.01741     0.02007   -1.698483187   -3.416521447   -1.718038260
     1     106    -0.05004    -0.01161     0.01338   -1.715039109   -3.441458692   -1.726419583
     1     106    -0.02502    -0.00580     0.00669   -1.729052284   -3.453261635   -1.724209351
     1     106    -0.00000    -0.00000    -0.00000   -1.737349554   -3.485073105   -1.747723551
     1     106     0.00000     0.01753    -0.01061   -1.736367323   -3.477969368   -1.741602045
     1     106     0.00000     0.03506    -0.02122   -1.734316579   -3.465356769   -1.731040190
